Title; 	 Artist


Playlist 1: 
The Immortals;	Kings of Leon
A Tout Le Monde - Remastered 2004;	Megadeth
Tie Your Mother Down - Remastered 2011;	Queen
The Way It Was;	The Killers
I Got A Car;	George Strait
Flying High Again;	Ozzy Osbourne
Imitation Of Life;	R.E.M.
IDGAF;	Dua Lipa
Summertime;	Kenny Chesney
Quiero;	Shakira
簡單愛;	Jay Chou
Cruise;	Florida Georgia Line
The Face;	Kings of Leon
Tainted Love;	Marilyn Manson
Hello;	SHINee
Louder than bombs;	BTS
Entre Caníbales - Remasterizado 2007;	Soda Stereo


Playlist 2: 
Es Épico;	Canserbero
Think;	Aretha Franklin
3:15;	Bazzi
Cry Baby;	Melanie Martinez
Should I Stay or Should I Go - Remastered;	The Clash
American Woman;	Lenny Kravitz
Mucho Corazón;	Luis Miguel
I Am a Rock;	Simon & Garfunkel
Get Down On It;	Kool & The Gang
Romeo And Juliet;	Dire Straits
Mistletoe;	Justin Bieber
Cheatham County;	Upchurch
Streatham;	Dave
Apologize;	OneRepublic
If I Were a Boy;	Beyoncé
I Shot The Sheriff;	Eric Clapton
Bleeding Love;	Leona Lewis


Playlist 3: 
Come Back;	Pearl Jam
Cigarettes & Alcohol - Remastered;	Oasis
I Hold On;	Dierks Bentley
Had Enough;	Breaking Benjamin
MONSTERS;	Shinedown
Loco por Ti;	Los Temerarios
La Libertad;	Alvaro Soler
Desesperado;	José José
Ahora Eh;	Manuel Turizo
Youngblood - Acoustic;	5 Seconds of Summer
Over My Head;	Fleetwood Mac
Stay Beautiful;	Taylor Swift
M.I.A.;	Avenged Sevenfold
Skateaway;	Dire Straits
Bicycle Race - Remastered 2011;	Queen
Hand in My Pocket;	Alanis Morissette
Mr. Moustache;	Nirvana


Playlist 4: 
Running With The Wolves;	AURORA
Lost In Yesterday;	Tame Impala
About Today;	The National
Djadja;	Aya Nakamura
Movement;	Hozier
Let Her Go;	Passenger
Beso;	CNCO
Do It Again;	Elevation Worship
Road Trippin';	Red Hot Chili Peppers
bloodline;	Ariana Grande
Angel By The Wings;	Sia
(I Can't Help) Falling In Love With You;	UB40
Fingertips;	Tom Gregory
Beautiful World;	Hikaru Utada
Movie;	Tom Misch
Sunkissed;	khai dreams
Rise Up;	TheFatRat


Playlist 5: 
El Tra;	Tito "El Bambino"
It's A Hard Life - Remastered 2011;	Queen
두근거려 (Beautiful);	BAEKHYUN
Payaso;	José José
The Way You Don't Look At Me;	Demi Lovato
Ice Cream Man;	Tyga
Eyes Shut;	Years & Years
Yo Te Quiero;	Marc Anthony
KABRIOLETY;	Taco Hemingway
Inkem Inkem Inkem Kaavaale;	Sid Sriram
I Can't Dance - Remastered 2007;	Genesis
Dear Name;	IU
Bolivienne;	Niska
Young God;	Halsey
Someone New;	Hozier
Never Grow Up;	Taylor Swift
Debra;	Beck


Playlist 6: 
Thank You For The Music;	ABBA
Are You with Me;	Lost Frequencies
Vision of Love;	Mariah Carey
Ashes - from "Deadpool 2" Motion Picture Soundtrack;	Céline Dion
Girls Like You;	Maroon 5
Dime Que No;	Ricardo Arjona
Skinny Love;	Birdy
Coprimi le spalle;	Gazzelle
Huracán;	Gera MX
